t,x,y
0,-0.665612519,-1.897604762
0.016755556,-0.667620715,-1.896006562
0.033488889,-0.668573336,-1.895553123
0.050244444,-0.668969734,-1.894073105
0.066988889,-0.669298288,-1.892483277
0.083733333,-0.671787076,-1.889310506
0.100488889,-0.672321499,-1.887318491
0.117233333,-0.675137849,-1.885801163
0.133977778,-0.674929333,-1.88411523
0.150722222,-0.676207187,-1.882518713
0.167466667,-0.675491546,-1.882254424
0.184211111,-0.674289207,-1.882198163
0.200966667,-0.672358212,-1.880753378
0.217711111,-0.672331712,-1.880445592
0.234455556,-0.67130465,-1.879099386
0.2512,-0.672637331,-1.877545603
0.267955556,-0.671178742,-1.877303624
0.2847,-0.671220766,-1.875885516
0.301444444,-0.670080868,-1.87544002
0.318188889,-0.668685181,-1.875490952
0.334944444,-0.670818477,-1.872480104
0.351688889,-0.670427161,-1.870564146
0.368433333,-0.670959631,-1.869129595
0.385177778,-0.67048521,-1.868771126
0.401922222,-0.670283966,-1.86878782
0.418677778,-0.66936259,-1.867259108
0.435422222,-0.670149841,-1.86560034
0.452166667,-0.670682625,-1.865435303
0.468911111,-0.67235678,-1.864095633
0.485666667,-0.672420475,-1.863899088
0.502411111,-0.672350221,-1.863504793
0.519155556,-0.67300999,-1.863575339
0.5359,-0.67420521,-1.863574383
0.552655556,-0.675725629,-1.861973342
0.5694,-0.676491994,-1.861899223
0.586144444,-0.679596588,-1.860703993
0.602888889,-0.677265681,-1.861607851
0.619633333,-0.677692006,-1.861692132
0.636377778,-0.679914531,-1.860816006
0.653122222,-0.680455206,-1.860401099
0.669877778,-0.679917546,-1.860258006
0.686622222,-0.681808234,-1.858684687
0.703366667,-0.68228353,-1.858785145
0.720122222,-0.681487709,-1.858691878
0.736855556,-0.680912275,-1.858258357
0.753611111,-0.682760027,-1.857174767
0.770355556,-0.681180939,-1.856770276
0.7871,-0.684188782,-1.85541701
0.803855556,-0.684362777,-1.855176318
0.8206,-0.686480473,-1.855541378
0.837344444,-0.687467964,-1.855394252
0.854088889,-0.689282351,-1.855546761
0.870844444,-0.690852589,-1.85542606
0.887588889,-0.691258895,-1.855380286
0.904333333,-0.692431528,-1.853805953
0.921077778,-0.692108832,-1.854876506
0.937822222,-0.694254621,-1.853789327
0.954566667,-0.694998461,-1.853848781
0.971322222,-0.69656151,-1.854021347
0.988066667,-0.695637464,-1.853708363
1.004811111,-0.695537538,-1.853102477
1.021555556,-0.696343406,-1.853623007
1.0383,-0.695474474,-1.85350713
1.055055556,-0.697845139,-1.852125619
1.0718,-0.695439872,-1.853206659
1.088544444,-0.699308362,-1.852053896
1.1053,-0.698934329,-1.851776071
1.122044444,-0.699243658,-1.851909964
1.138788889,-0.699280486,-1.853340328
1.155533333,-0.700634483,-1.853430916
1.172277778,-0.702687971,-1.852034821
1.189033333,-0.704578109,-1.851675179
1.2058,-0.709387233,-1.848663479
1.222522222,-0.712073887,-1.846890715
1.239266667,-0.7127988,-1.84691195
1.256022222,-0.706512921,-1.848443231
1.272766667,-0.699733313,-1.850100867
1.289511111,-0.693108119,-1.850315897
1.306255556,-0.684592705,-1.851766776
1.323,-0.680945134,-1.85367552
1.339766667,-0.679828143,-1.85586443
1.3565,-0.675460713,-1.856912388
1.373244444,-0.672859642,-1.85897096
1.389988889,-0.667451682,-1.8618568
1.406744444,-0.659531065,-1.865454564
1.423488889,-0.648469877,-1.869142099
1.440233333,-0.63450112,-1.874015429
1.456977778,-0.619568106,-1.879243195
1.473722222,-0.6056963,-1.884059938
1.490477778,-0.596154545,-1.887545248
1.507222222,-0.583561463,-1.892337257
1.523966667,-0.5723706,-1.895912905
1.540711111,-0.562719299,-1.897738165
1.557455556,-0.550765167,-1.899461489
1.574211111,-0.535610475,-1.904548876
1.590955556,-0.516632059,-1.909365714
1.6077,-0.500837881,-1.913089059
1.624444444,-0.480556191,-1.91944756
1.6412,-0.461922441,-1.924262923
1.657944444,-0.446668983,-1.928115505
1.674688889,-0.429195862,-1.931686188
1.691433333,-0.414147701,-1.93336393
1.708177778,-0.396560852,-1.936693685
1.724933333,-0.379361774,-1.940353151
1.741677778,-0.359809071,-1.944946523
1.758422222,-0.336879468,-1.950426732
1.775166667,-0.31765973,-1.953781635
1.791922222,-0.2946231,-1.958740067
1.808666667,-0.274710258,-1.961867923
1.825411111,-0.258473049,-1.963969199
1.842155556,-0.238068508,-1.968019773
1.8589,-0.21888439,-1.970482718
1.875655556,-0.199674476,-1.973625661
1.8924,-0.177816639,-1.975562869
1.909144444,-0.154883324,-1.977289279
1.925911111,-0.13342115,-1.980629662
1.942633333,-0.110977653,-1.981924304
1.959388889,-0.09083716,-1.98272003
1.976133333,-0.072405717,-1.983618092
1.992877778,-0.05101503,-1.984119967
2.009622222,-0.030767854,-1.984244635
2.026366667,-0.008843398,-1.98476741
2.043122222,0.010113702,-1.984804199
2.059866667,0.031301894,-1.984243985
2.076611111,0.053246847,-1.983241868
2.093355556,0.069866945,-1.984111159
2.110111111,0.089969574,-1.982525842
2.126855556,0.113674835,-1.980871082
2.1436,0.132249489,-1.980756121
2.160344444,0.151296911,-1.977916496
2.177088889,0.168568557,-1.976077971
2.193844444,0.184628005,-1.973955391
2.210588889,0.20323594,-1.972131381
2.227333333,0.223292808,-1.970717468
2.244077778,0.242610503,-1.969494776
2.260822222,0.257995591,-1.967436807
2.277577778,0.274970045,-1.964142982
2.294322222,0.289830687,-1.960758937
2.311066667,0.305549691,-1.957707627
2.327822222,0.318367229,-1.955184823
2.344555556,0.332638119,-1.953760365
2.361311111,0.3460753,-1.952289091
2.378055556,0.360749699,-1.95048473
2.3948,0.37203559,-1.948334716
2.411555556,0.385023531,-1.945213721
2.4283,0.39646312,-1.942059207
2.445044444,0.408239968,-1.938930063
2.461788889,0.415297572,-1.938372492
2.478544444,0.426653178,-1.935330684
2.495288889,0.434068592,-1.933622593
2.512033333,0.440375718,-1.931521622
2.528777778,0.447559873,-1.930099231
2.545522222,0.454244682,-1.928335774
2.562277778,0.461044874,-1.926833688
2.579022222,0.467165114,-1.924858898
2.595766667,0.473116264,-1.923634141
2.612511111,0.476420115,-1.923478162
2.629266667,0.481556889,-1.923464182
2.646011111,0.482956921,-1.922942453
2.662755556,0.484535799,-1.923322849
2.6795,0.485197688,-1.923433836
2.696244444,0.486093261,-1.92367714
2.713,0.486096399,-1.923377421
2.729744444,0.486448123,-1.92353139
2.746488889,0.484437976,-1.924647873
2.763233333,0.483234388,-1.925277312
2.779977778,0.478688611,-1.927092138
2.796733333,0.472577963,-1.929811443
2.813477778,0.46629448,-1.931740589
2.830222222,0.459657652,-1.933355529
2.846966667,0.452254542,-1.935288977
2.863711111,0.446122546,-1.938598552
2.880466667,0.440568297,-1.940635724
2.897211111,0.432244017,-1.943796976
2.913955556,0.423403743,-1.946878289
2.9307,0.41569502,-1.949071573
2.947455556,0.403837342,-1.952030423
2.9642,0.393159851,-1.955360955
2.980944444,0.38364798,-1.958814979
2.997688889,0.371630207,-1.96237819
3.014444444,0.359795835,-1.965950049
3.031188889,0.348183005,-1.969406372
3.047933333,0.336405336,-1.972822516
3.064677778,0.322682973,-1.975994538
3.081422222,0.308664797,-1.979230127
3.098166667,0.29364749,-1.982676097
